Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG_prc,three_PM,Three_PA,Three_P_prc,FTM,FTA,FT_prc,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Kyle Kuzma,2018,70,68,33.1,18.69,7.09,15.53,0.456,1.83,6.03,0.303,2.69,3.57,0.752,0.86,4.6,5.46,2.54,0.59,0.37,1.9,2.43
Kyle Kuzma,2019,61,9,25,12.82,4.77,10.95,0.436,1.41,4.46,0.316,1.87,2.54,0.735,0.85,3.62,4.48,1.31,0.46,0.43,1.49,2.07
Kyle Kuzma,2020,68,32,28.7,12.85,4.93,11.13,0.443,2.01,5.59,0.361,0.99,1.43,0.691,1.59,4.54,6.13,1.87,0.51,0.6,1.66,1.78
Kyle Kuzma,2021,66,66,33.4,17.12,6.41,14.18,0.452,1.94,5.68,0.341,2.36,3.32,0.712,1.06,7.44,8.5,3.53,0.64,0.86,2.56,1.94
Kyle Kuzma,2022,64,64,35,21.2,8,17.84,0.448,2.5,7.52,0.333,2.7,3.7,0.73,0.86,6.38,7.23,3.73,0.56,0.45,2.97,2.27
Terry Rozier,2015,39,0,8,1.85,0.74,2.72,0.274,0.15,0.69,0.222,0.21,0.26,0.8,0.62,1,1.62,0.95,0.15,0.03,0.49,0.59
Terry Rozier,2016,74,0,17.1,5.54,2.04,5.55,0.367,0.77,2.42,0.318,0.69,0.89,0.773,0.54,2.53,3.07,1.77,0.62,0.15,0.64,0.93
Terry Rozier,2017,80,16,25.9,11.25,3.95,10,0.395,1.91,5.03,0.381,1.44,1.86,0.772,0.79,3.91,4.7,2.9,1,0.24,1,1.54
Terry Rozier,2018,79,14,22.7,8.96,3.27,8.43,0.387,1.51,4.27,0.353,0.92,1.18,0.785,0.41,3.48,3.89,2.92,0.86,0.27,0.86,1.28
Terry Rozier,2019,63,63,34.4,18,6.32,14.94,0.423,2.73,6.71,0.407,2.63,3.02,0.874,0.79,3.59,4.38,4.11,0.97,0.16,2.24,2
Terry Rozier,2020,69,69,34.5,20.39,7.39,16.43,0.45,3.22,8.28,0.389,2.39,2.93,0.817,0.68,3.7,4.38,4.25,1.26,0.38,1.86,1.72
Terry Rozier,2021,73,73,33.7,19.29,7.1,15.99,0.444,3.04,8.12,0.374,2.05,2.41,0.852,0.77,3.55,4.32,4.47,1.27,0.34,1.32,1.63
Terry Rozier,2022,63,63,35.3,21.1,7.83,18.86,0.415,2.62,8.02,0.327,2.83,3.49,0.809,0.81,3.3,4.11,5.06,1.17,0.25,2.13,1.89
Anfernee Simons,2018,20,1,7,3.75,1.4,3.15,0.444,0.5,1.45,0.345,0.45,0.8,0.563,0.15,0.5,0.65,0.65,0.05,0,0.55,0.45
Anfernee Simons,2019,70,4,20.7,8.27,3.06,7.66,0.399,1.07,3.23,0.332,1.09,1.31,0.826,0.36,1.81,2.17,1.39,0.37,0.14,0.87,1.93
Anfernee Simons,2020,64,0,17.3,7.84,2.62,6.27,0.419,1.88,4.41,0.426,0.72,0.89,0.807,0.22,1.97,2.19,1.39,0.28,0.12,0.67,1.5
