Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG_prc,three_PM,Three_PA,Three_P_prc,FTM,FTA,FT_prc,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Kristaps Porzingis,2020,43,43,30.9,20.12,7.56,15.88,0.476,2.26,6,0.376,2.74,3.21,0.855,1.91,6.95,8.86,1.58,0.47,1.35,1.19,2.67
Kristaps Porzingis,2021,51,51,29,20.2,6.9,15.04,0.459,1.53,4.94,0.31,4.86,5.61,0.867,2,6.06,8.06,2.33,0.73,1.65,1.59,2.69
Kristaps Porzingis,2022,65,65,32.6,23.15,7.8,15.66,0.498,2.11,5.48,0.385,5.45,6.4,0.851,1.75,6.65,8.4,2.68,0.89,1.54,2.11,3.02
Jimmy Butler,2011,42,0,8.5,2.6,0.76,1.88,0.405,0.05,0.26,0.182,1.02,1.33,0.768,0.55,0.79,1.33,0.33,0.26,0.12,0.33,0.48
Jimmy Butler,2012,82,20,26,8.6,2.91,6.24,0.467,0.49,1.28,0.381,2.28,2.84,0.803,1.66,2.34,4,1.4,0.95,0.38,0.76,1.18
Jimmy Butler,2013,67,67,38.7,13.1,4.1,10.34,0.397,1.01,3.58,0.283,3.88,5.04,0.769,1.3,3.63,4.93,2.61,1.9,0.54,1.52,1.58
Jimmy Butler,2014,65,65,38.7,20.02,6.48,14.03,0.462,1.12,2.97,0.378,5.94,7.12,0.834,1.75,4.08,5.83,3.26,1.75,0.55,1.43,1.66
Jimmy Butler,2015,67,67,36.9,20.88,7.01,15.43,0.455,0.96,3.07,0.311,5.9,7.09,0.832,1.18,4.16,5.34,4.79,1.64,0.64,1.97,1.85
Jimmy Butler,2016,76,75,37,23.89,7.5,16.47,0.455,1.2,3.26,0.367,7.7,8.89,0.865,1.7,4.49,6.18,5.49,1.88,0.42,2.09,1.47
Jimmy Butler,2017,59,59,36.7,22.15,7.41,15.61,0.474,1.19,3.39,0.35,6.15,7.2,0.854,1.34,3.98,5.32,4.88,1.97,0.41,1.83,1.32
Jimmy Butler,2018,10,10,36.1,21.3,7.4,15.7,0.471,1.7,4.5,0.378,4.8,6.1,0.787,1.6,3.6,5.2,4.3,2.4,1,1.4,1.8
Jimmy Butler,2019,58,58,33.8,19.95,5.95,13.07,0.455,0.5,2.05,0.244,7.55,9.05,0.834,1.83,4.83,6.66,6.03,1.78,0.55,2.19,1.4
Jimmy Butler,2020,52,52,33.6,21.46,7.04,14.15,0.497,0.48,1.96,0.245,6.9,8,0.863,1.81,5.1,6.9,7.1,2.08,0.35,2.1,1.37
Jimmy Butler,2021,57,57,33.9,21.39,6.98,14.54,0.48,0.47,2.04,0.233,6.95,7.98,0.87,1.79,4.11,5.89,5.47,1.65,0.47,2.12,1.54
Jimmy Butler,2022,64,64,33.4,22.91,7.48,13.88,0.539,0.56,1.61,0.35,7.38,8.67,0.85,2.2,3.66,5.86,5.31,1.83,0.33,1.58,1.25
Jalen Green,2021,67,67,31.9,17.27,6.06,14.24,0.426,2.34,6.84,0.343,2.81,3.52,0.797,0.49,2.88,3.37,2.63,0.66,0.27,2.01,1.54
Jalen Green,2022,76,76,34.2,22.14,7.45,17.88,0.416,2.46,7.29,0.338,4.79,6.09,0.786,0.57,3.17,3.74,3.7,0.78,0.24,2.63,1.72
C.J. McCollum,2013,38,0,12.5,5.29,1.95,4.68,0.416,0.79,2.11,0.375,0.61,0.89,0.676,0.18,1.08,1.26,0.71,0.37,0.05,0.92,1.39
C.J. McCollum,2014,62,3,15.7,6.84,2.56,5.89,0.436,0.89,2.24,0.396,0.82,1.18,0.699,0.23,1.24,1.47,1.03,0.69,0.13,0.77,1.31
C.J. McCollum,2015,80,80,34.7,20.82,8.01,17.89,0.448,2.46,5.9,0.417,2.34,2.83,0.827,0.59,2.65,3.24,4.26,1.21,0.29,2.45,2.34
C.J. McCollum,2016,80,80,34.9,22.96,8.65,18.01,0.48,2.31,5.49,0.421,3.35,3.67,0.912,0.75,2.86,3.61,3.56,0.9,0.53,2.15,2.52
C.J. McCollum,2017,81,81,36.1,21.38,8.23,18.58,0.443,2.33,5.88,0.397,2.58,3.09,0.836,0.65,3.31,3.96,3.36,0.95,0.43,1.86,2.07
C.J. McCollum,2018,70,70,33.9,20.97,8.16,17.76,0.459,2.39,6.36,0.375,2.27,2.74,0.828,0.89,3.14,4.03,2.96,0.79,0.4,1.51,2.46
C.J. McCollum,2019,70,70,36.5,22.23,8.73,19.37,0.451,2.77,7.31,0.379,2,2.64,0.757,0.66,3.59,4.24,4.43,0.77,0.6,1.81,2.61
C.J. McCollum,2020,47,47,34,23.13,8.62,18.81,0.458,3.6,8.94,0.402,2.3,2.83,0.812,0.64,3.3,3.94,4.74,0.94,0.45,1.38,1.85
C.J. McCollum,2021,62,62,34.6,22.1,8.65,18.77,0.46,2.94,7.56,0.388,1.87,2.74,0.682,0.85,3.48,4.34,5.08,1.13,0.35,2.05,1.95
C.J. McCollum,2022,75,75,35.3,20.91,7.83,17.92,0.437,2.81,7.24,0.389,2.44,3.17,0.769,0.73,3.64,4.37,5.72,0.93,0.51,2.44,2.04
