Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Kevin Durant,2021-22,67,51,29.6,13.72,4.57,10.97,0.416,1.67,4.93,0.339,2.91,3.76,0.774,0.67,3.49,4.16,5.16,0.66,0.19,1.55,2.24
LeBron James,2022-23,79,79,34.5,17.33,5.82,13.29,0.438,2.29,6.2,0.369,3.39,4.18,0.812,0.35,3.06,3.42,6.52,0.85,0.3,1.84,2.37
Joel Embiid,2015-16,49,24,14.8,5.57,1.98,4.67,0.424,0.73,1.82,0.404,0.88,1.08,0.811,0.33,1.94,2.27,0.96,0.59,0.2,0.65,1.2
Luka Doncic,2016-17,76,18,18,8.37,2.99,6.66,0.449,0.74,2.28,0.324,1.66,2.09,0.792,0.34,1.88,2.22,1.08,0.68,0.18,0.92,1.67
Damian Lillard,2017-18,70,18,15.2,5.5,2.14,5.34,0.401,0.76,2.66,0.285,0.46,0.56,0.821,0.2,1.5,1.7,1.27,0.53,0.23,0.94,1.59
Shai Gilgeous-Alexander,2018-19,60,3,18.8,8.6,3.22,6.67,0.483,1.13,2.83,0.4,1.03,1.25,0.827,0.27,2.05,2.32,1.52,0.65,0.22,1.08,1.6
Giannis Antetokounmpo,2019-20,52,26,28.4,15.96,5.69,11.5,0.495,2.1,5.25,0.399,2.48,2.94,0.843,0.5,3.15,3.65,1.75,1.15,0.4,1.48,2.08
Jayson Tatum,2020-21,69,58,32,18.59,6.35,13.3,0.477,2.48,6.03,0.411,3.42,3.93,0.871,0.61,2.51,3.12,1.87,1.19,0.26,1.72,2.32
Stephen Curry,2021-22,45,41,32.4,18.96,6.2,13.44,0.461,2.36,5.62,0.419,4.2,5.18,0.811,0.44,2.78,3.22,2.13,0.93,0.47,1.53,2.36
Kevin Durant,2022-23,60,8,26.1,16.98,5.67,11.83,0.479,1.9,4.78,0.397,3.75,4.62,0.812,0.4,2.52,2.92,1.82,0.83,0.3,1.68,2.08
Joel Embiid,2016-17,82,55,23,10.56,3.99,9.35,0.426,1.8,4.62,0.391,0.78,0.93,0.842,0.43,2.85,3.28,1.48,0.46,0.11,1.23,1.4
